decayed,image,names,name,norad_cat_id,status,telemetries
null,null,JG6YKY - TENKOH STK sim,Ten-Koh,43677,alive,[]
null,null,,DIWATA-2,43678,alive,[]
null,null,JJ2YSY,Stars-AO,43679,alive,[]
null,null,JJ2YTA,AUTcube2,43681,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/irvine.jpg,,IRVINE-01,43693,alive,[{"decoder":"irvine"}]
2019-11-18T01:07:03Z,null,,GSLV R/B,43699,re-entered,[]
null,null,QO-100,Es'hail 2,43700,alive,[{"decoder":"eshail2"}]
null,null,,FACSAT 1,43721,alive,[]
null,null,,Centauri-2,43722,alive,[]
null,null,,InnoSat 2,43738,alive,[]
null,null,OH2RHW1,Reaktor Hello World,43743,alive,[]
null,null,,MinXSS 2,43758,alive,[{"decoder":"minxss"}]
null,null,,AISTechSat 2,43768,alive,[]
null,null,Fox-1Cliff - AO-95,FOX-1C,43770,alive,[{"decoder":"fox"}]
null,null,,RANGE A,43772,alive,[]
null,null,,RANGE B,43773,alive,[]
null,null,,OBJECT T,43775,alive,[]
null,null,DP0MVE,MOVE-II,43780,alive,[]
null,null,,SNUSAT-2,43782,alive,[]
null,null,DS0DH,SNUGLITE,43784,alive,[]
null,null,ITASAT-14,ITASAT 1,43786,alive,[]
null,null,,KAZSCISAT-1,43787,alive,[]
null,null,,Eaglet-I,43790,alive,[]
null,null,,ESEO (FunCube 4),43792,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/CSIM_Image_Instrument.jpeg,,CSIM-FD,43793,alive,[{"decoder":"csim"}]
null,null,,Astrocast 0.1,43798,alive,[]
null,null,Jordan-OSCAR 97 - JO-97,JY1Sat,43803,alive,[]
null,null,,Suomi 100,43804,alive,[]
null,null,UN1GWA,al-Farabi-2,43805,alive,[]
null,null,,Centauri-1,43809,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/pwsat.png,,PW-Sat2,43814,alive,[{"decoder":"pwsat2"}]
null,null,,CHOMPTT,43855,alive,[{"decoder":"chomptt"}]
null,null,,CP11 (ISX),43856,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/cubesat_300x300.png,,Da Vinci,43857,alive,[]
null,null,DP1GOS,D-Star ONE iSat,43879,alive,[]
null,null,DP0UWH,UWE-4,43880,alive,[{"decoder":"uwe4"}]
null,null,DP1GOS,D-Star ONE Sparrow,43881,alive,[]
null,null,,ZACUBE-2,43907,alive,[]
null,null,LUME-I,LUME-1,43908,alive,[]
null,null,FO-98 - JS1YAX - Fuji-OSCAR 98,OrigamiSat-1,43933,alive,[{"decoder":"origamisat1"}]
null,null,,Microdragon,43935,alive,[]
null,null,JS1WAV - FO-99 - Fuji-OSCAR 99,NEXUS,43937,alive,[]
null,null,,AOBA VELOX-IV,43940,alive,[]
null,null,AUSAT 1,Delphini-1,44030,alive,[]
null,null,,MySat-1,44045,alive,[{"decoder":"mysat"}]
2019-04-02T04:21:00Z,null,,KickSat-2,44046,re-entered,[]
null,null,HB9GSF,Astrocast 0.2,44083,alive,[]
null,null,Danu Pathfinder,AISTECHSAT-3,44103,alive,[]
null,null,,AISAT-1,44104,alive,[]
null,null,,M6P,44109,alive,[]
null,null,JG6YLG,Raavana-1,44329,alive,[]
null,null,JG6YLE,Uguisu,44330,alive,[]
null,null,JG6YLF,NepaliSat-1,44331,alive,[]
null,null,,SpooQy-1,44332,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/original.png,Nanosat-7,Prox-1,44339,alive,[]
null,null,,FORMOSAT 7-4,44350,alive,[]
null,null,,ARMADILLO,44352,alive,[{"decoder":"armadillo"}]
null,https://db-satnogs.freetls.fastly.net/media/satellites/Screenshot_from_2019-07-19_21-51-31.png,NO-104,PSAT-2,44354,alive,[]
null,null,USNA-P1- USNAP1- NO-103,BRICSat-2,44355,alive,[]
null,null,,TBEX-A,44356,alive,[{"decoder":"mxl"}]
null,null,,TBEX-B,44359,alive,[{"decoder":"mxl"}]
null,null,,CP9 (LEO),44360,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/painani-1.png,,PAINANI-1,44365,alive,[{"decoder":"painani"}]
null,https://db-satnogs.freetls.fastly.net/media/satellites/MSP_ACRUX-1_reduced-file-size.png,,ACRUX-1,44369,alive,[{"decoder":"acrux1"}]
null,null,,Meteor-M 2-2,44387,alive,[]
null,null,,VDNH-80,44392,alive,[]
null,null,AMURSAT,AMGU-1,44394,alive,[]
null,null,,SOKRAT,44404,alive,[]
null,null,OK0SAT,Lucky-7,44406,alive,[]
null,null,,NARSSCube-2,44418,alive,[]
null,null,,JAISAT-1,44419,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/Screenshot_from_2019-07-09_12-34-54.png,WM9XPA - LightSail-B,LightSail-2,44420,alive,[{"decoder":"lightsail2"}]
null,https://db-satnogs.freetls.fastly.net/media/satellites/sat.png,SR6SAT,Swiatowid,44426,alive,[]
null,null,SR9KRA,KrakSat,44427,alive,[{"decoder":"ax25monitor"}]
null,null,,EntrySat,44429,alive,[{"decoder":"entrysat"}]
2019-08-07T13:37:05Z,null,BP 1B,CAS-7B,44443,re-entered,[]
null,null,Jinniuzuo-1,Taurus-1,44530,alive,[]
null,null,,FossaSat 1,44829,alive,[]
null,null,HA1ATL - MO-106 - Magyar-OSCAR 106,ATL-1,44830,alive,[]
null,null,HA4C - MO-105 - Magyar-OSCAR 105,SMOG-P,44832,alive,[]
null,null,,DUCHIFAT-3,44854,alive,[{"decoder":"duchifat3"}]
null,https://db-satnogs.freetls.fastly.net/media/satellites/OPS-SAT.jpg,,OPS-SAT,44878,alive,[{"decoder":"opssat1"}]
null,null,,FloripaSat-1,44885,alive,[]
null,null,RS-44,DOSAAF-85,44909,alive,[]
null,null,OF-2,Orbital Factory 2,45113,alive,[]
null,null,,SwampSat-2,45115,alive,[]
null,null,HS-1,HuskySat-1,45119,alive,[]
null,null,,OBJECT RA,45257,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/7d68c1754efe89f77663fac20a4af90683b43f02.png,,Phoenix (ASU),45258,alive,[{"decoder":"asuphoenix"}]
null,null,,AZTECHSAT-1,45261,alive,[]
null,null,WJ2XXC,RadSat-U,45262,alive,[]
null,null,ON05BE,QARMAN,45263,alive,[{"decoder":"qarman"}]
null,null,NOUR 01 - NOOR-1 - NOOR-01,NOUR 01,45529,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/Cubesat-fase-6.jpg,Guatesat 1,Quetzal-1,45598,alive,[{"decoder":"quetzal1"}]
null,null,DP0MVB,MOVE-IIb,99801,alive,[]
null,null,DP0BEM,BEESAT-9,99802,alive,[]
null,null,,BEESAT-10,99803,alive,[]
null,null,,BEESAT-11,99804,alive,[]
null,null,,BEESAT-12,99805,alive,[]
null,null,,BEESAT-13,99806,alive,[]
null,null,,SEAM 2.0,99808,alive,[]
null,null,,SONATE,99809,alive,[]
null,null,ROBUSTA 1C,MTCube,99811,alive,[]
null,null,TTÜ101- Koit,TTU101,99812,alive,[]
null,null,,ECUADOR-UTE,99816,alive,[]
null,null,,LightSat,99817,alive,[]
null,null,,EXOCONNECT,99818,alive,[]
null,null,,TRSI-Sat,99821,alive,[]
null,null,TIANQIN-1 - BJ1SO,CAS-6,99823,alive,[]
null,https://db-satnogs.freetls.fastly.net/media/satellites/csm_Mission_Patch_cut_829a68e1ee.png,DP0WER,SALSAT,99826,alive,[]
