baud,downlink_drift,alive,uplink_drift,invert,citation,description,type,norad_cat_id,uuid,mode,mode_id,service,downlink_high,uplink_high,downlink_low,updated,uplink_low,uplink_mode,status
null,null,true,null,false,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=593,CW Beacon,Transmitter,43678,JmHHyS3anLiFQg7GUv6F5A,CW,6,Unknown,null,null,145900000,2019-06-16T14:59:55.541311Z,null,null,active
17.0,null,true,null,false,https://network.satnogs.org/observations/751905/,UHF CW TLM,Transmitter,44331,mwLCtnmHojERWGKTnMT6Kj,CW,6,Unknown,null,null,437375000,2019-06-17T11:37:25.697851Z,null,null,active
17.0,null,true,null,false,https://network.satnogs.org/observations/751905/,UHF CW TLM,Transmitter,44330,osebQczQC5X852ueXKBXjH,CW,6,Unknown,null,null,437375000,2019-06-17T11:37:25.700179Z,null,null,active
17.0,null,true,null,false,https://network.satnogs.org/observations/751905/,UHF CW TLM,Transmitter,44329,fB7B6jkc7fUcMhYrP3xJU8,CW,6,Unknown,null,null,437375000,2019-06-17T11:37:25.703212Z,null,null,active
9600.0,null,false,null,false,Wasn't from official source- nothing observed in SatNOGS network,UHF GMSK9k6,Transmitter,44332,tahcDNvrcRysGqsX4E6H4F,GMSK,63,Unknown,null,null,435300000,2019-06-22T08:38:57.060568Z,null,null,invalid
9600.0,0,true,null,false,https://twitter.com/cgbassa/status/1142350153208213505,UHF GMSK9k6,Transmitter,44332,4rK9bvm9bm7BLypA69EnEh,GMSK,63,Unknown,null,null,436200000,2019-06-22T08:59:15.786391Z,null,null,active
1200.0,null,true,null,false,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=472,Mode V/V AFSK1k2 APRS Digipeater,Transceiver,44355,HsNs3ELgaGTVX8muvifYfT,AFSK,49,Unknown,null,null,145825000,2019-06-24T00:54:08.531915Z,145825000,AFSK,active
1200.0,null,true,null,false,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=473,Mode V/V AFSK1k2 APRS Digipeater,Transceiver,44354,gqn54Lfe8kJWq9ktNNA5iF,AFSK,49,Unknown,null,null,145825000,2019-06-24T00:54:08.539619Z,145825000,AFSK,active
38400.0,null,true,null,false,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=481,Mode U FSK38k4 AX.25,Transmitter,44360,vpcDzL7w8WwBPgVggkWif6,FSK,72,Unknown,null,null,437505000,2019-06-24T00:54:08.542055Z,null,null,active
19200.0,null,true,null,false,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=481,Mode U FSK19k2 AX.25,Transmitter,44360,e8Lx9hQdFhiuJp94sa5bz7,FSK,72,Unknown,null,null,437505000,2019-06-24T00:54:08.544432Z,null,null,active
9600.0,null,true,null,false,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=481,Mode U FSK9k6 AX.25,Transmitter,44360,NzzuxYkooLuv9hYeNa7pqc,FSK,72,Unknown,null,null,437505000,2019-06-24T00:54:08.546878Z,null,null,active
9600.0,null,true,null,false,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=266,Mode U GMSK9k6 AX.25,Transmitter,99972,U9X4CS3J5CqK3torAgTfJD,GMSK,63,Unknown,null,null,437200000,2019-06-24T00:54:08.549381Z,null,null,active
null,null,true,null,false,http://www.amsatuk.me.uk/iaru/finished_detail.php?serialnum=237,Mode U CW Beacon,Transmitter,44352,EK6A86Nt8ApPK4AiSSHKuF,CW,6,Unknown,null,null,437525000,2019-06-24T00:54:08.554356Z,null,null,active
